material_description|purchase_requisition_number|line_type|commodity_code|cost_center|purchase_order_number|currency|vendor_number|purchasing_organization_description|supplier_name_l1|item_number_of_purchase_requisition|requisition_date|supplier_part_number
Test New|PR1428|Non-Catalog Item|Not Set|0000001000|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|13 Jul 2017|Not Set
Closed Bid|PR1446|Non-Catalog Item|Not Set|0000001000|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|14 Jul 2017|Not Set
Closed Bid|PR1447|Non-Catalog Item|Not Set|0000001000|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|14 Jul 2017|Not Set
Closed Bid|PR1448|Non-Catalog Item|Not Set|0000001000|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|14 Jul 2017|Not Set
Test_1|PR5766|Non-Catalog Item|Not Set|0000002300|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|26 Feb 2018|Not Set
Test-Collaborative Requisitioning|PR5817|Non-Catalog Item|Not Set|0000002300|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|27 Feb 2018|Not Set
Test_1|PR5816|Non-Catalog Item|Not Set|0000002300|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|27 Feb 2018|Not Set
Collaboration|PR8695|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|01 Feb 2019|Not Set
Paint|PR8715|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|02 Feb 2019|Not Set
Planned SC ParentLine|PR14118|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|3200000040|Not Set|Mediacom|1|09 Mar 2020|Not Set
Planned Service sc: Parent Line|PR14117|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|3200000040|Not Set|Mediacom|1|09 Mar 2020|Not Set
Planned Service sc: Parent Line|PR14567|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|3200000040|Not Set|Mediacom|1|27 Mar 2020|Not Set
Test Product for CR training|PR16508|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|25 Aug 2020|Not Set
Testttingg|PR17010|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|09 Oct 2020|Not Set
Electric Wires|PR22415|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|07 Jan 2022|Not Set
Material|PR22420|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|07 Jan 2022|Not Set
Material|PR22421|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|[Unspecified]|Not Set|[Unspecified]|1|07 Jan 2022|Not Set
Test Contract Release Item|PR22672|Non-Catalog Item|Not Set|ZCCH10|Not Set|USD|Not Set|Not Set|DED Ariba Light Supplier|1|22 Feb 2022|Not Set
OEM|PR22942|Non-Catalog Item|Not Set|ZE011003|Not Set|USD|3200000241|Not Set|Software House International|1|08 Apr 2022|Not Set
ZB Demo|PR22969|Non-Catalog Item|Not Set|CH4001|Not Set|USD|Not Set|Not Set|Not Set|1|12 Apr 2022|Not Set
test quick sourcing request|PR22953|Non-Catalog Item|Not Set|0000001001|Not Set|USD|Not Set|Not Set|Not Set|1|12 Apr 2022|Not Set
Line item 2|PR22988|Non-Catalog Item|Not Set|CH4001|Not Set|USD|Not Set|Not Set|Not Set|2|13 Apr 2022|Not Set
